key,sector_hours,year,hours_idx_annual_raw
totale industria e servizi (b-n),TOTALE INDUSTRIA E SERVIZI (b-n),2021,99.7
totale industria e servizi (b-n),TOTALE INDUSTRIA E SERVIZI (b-n),2022,107.95
totale industria e servizi (b-n),TOTALE INDUSTRIA E SERVIZI (b-n),2023,112.525
totale industria e servizi (b-n),TOTALE INDUSTRIA E SERVIZI (b-n),2024,115.875
totale industria e servizi (b-n),TOTALE INDUSTRIA E SERVIZI (b-n),2025,117.86666666666667
totale industria escluse costruzioni (b-e),TOTALE INDUSTRIA ESCLUSE COSTRUZIONI (b-e),2015,94.0
totale industria escluse costruzioni (b-e),TOTALE INDUSTRIA ESCLUSE COSTRUZIONI (b-e),2016,95.875
totale industria escluse costruzioni (b-e),TOTALE INDUSTRIA ESCLUSE COSTRUZIONI (b-e),2017,98.55
totale industria escluse costruzioni (b-e),TOTALE INDUSTRIA ESCLUSE COSTRUZIONI (b-e),2018,99.85
totale industria escluse costruzioni (b-e),TOTALE INDUSTRIA ESCLUSE COSTRUZIONI (b-e),2019,99.725
totale industria escluse costruzioni (b-e),TOTALE INDUSTRIA ESCLUSE COSTRUZIONI (b-e),2020,89.325
totale industria escluse costruzioni (b-e),TOTALE INDUSTRIA ESCLUSE COSTRUZIONI (b-e),2021,99.42500000000001
totale industria escluse costruzioni (b-e),TOTALE INDUSTRIA ESCLUSE COSTRUZIONI (b-e),2022,102.725
totale industria escluse costruzioni (b-e),TOTALE INDUSTRIA ESCLUSE COSTRUZIONI (b-e),2023,105.05000000000001
totale industria escluse costruzioni (b-e),TOTALE INDUSTRIA ESCLUSE COSTRUZIONI (b-e),2024,105.175
totale industria escluse costruzioni (b-e),TOTALE INDUSTRIA ESCLUSE COSTRUZIONI (b-e),2025,105.63333333333333
totale servizi di mercato (g-n),TOTALE SERVIZI DI MERCATO (g-n),2015,97.075
totale servizi di mercato (g-n),TOTALE SERVIZI DI MERCATO (g-n),2016,100.9
totale servizi di mercato (g-n),TOTALE SERVIZI DI MERCATO (g-n),2017,104.925
totale servizi di mercato (g-n),TOTALE SERVIZI DI MERCATO (g-n),2018,107.975
totale servizi di mercato (g-n),TOTALE SERVIZI DI MERCATO (g-n),2019,109.3
totale servizi di mercato (g-n),TOTALE SERVIZI DI MERCATO (g-n),2020,92.3
totale servizi di mercato (g-n),TOTALE SERVIZI DI MERCATO (g-n),2021,99.80000000000001
totale servizi di mercato (g-n),TOTALE SERVIZI DI MERCATO (g-n),2022,110.375
totale servizi di mercato (g-n),TOTALE SERVIZI DI MERCATO (g-n),2023,116.425
