sector_va,year,va,key
"Attività estrattiva, attività manifatturiere, fornitura di energia elettrica, gas, vapore e aria condizionata, fornitura di acqua, reti fognarie, attività di trattamento dei rifiuti e risanamento",2017,318287.3,"attività estrattiva, attività manifatturiere, fornitura di energia elettrica, gas, vapore e aria condizionata, fornitura di acqua, reti fognarie, attività di trattamento dei rifiuti e risanamento"
Industria estrattiva,2017,2955.2,industria estrattiva
Industria manifatturiera,2017,276905.5,industria manifatturiera
"Industrie alimentari, delle bevande e del tabacco",2017,30568.9,"industrie alimentari, delle bevande e del tabacco"
"Industrie tessili, confezione di articoli di abbigliamento e di articoli in pelle e simili",2017,28013.3,"industrie tessili, confezione di articoli di abbigliamento e di articoli in pelle e simili"
"Industria del legno, della carta, editoria",2017,15922.6,"industria del legno, della carta, editoria"
"Industria del legno e dei prodotti in legno e sughero, esclusi i mobili, fabbricazione di articoli in paglia e materiali da intreccio",2017,4975.5,"industria del legno e dei prodotti in legno e sughero, esclusi i mobili, fabbricazione di articoli in paglia e materiali da intreccio"
Fabbricazione di carta e di prodotti di carta,2017,6241.9,fabbricazione di carta e di prodotti di carta
Stampa e riproduzione su supporti registrati,2017,4696.1,stampa e riproduzione su supporti registrati
Fabbricazione di coke e prodotti derivanti dalla raffinazione del petrolio,2017,790.6,fabbricazione di coke e prodotti derivanti dalla raffinazione del petrolio
Fabbricazione di prodotti chimici,2017,13179.0,fabbricazione di prodotti chimici
Fabbricazione di prodotti farmaceutici di base e di preparati farmaceutici,2017,9820.2,fabbricazione di prodotti farmaceutici di base e di preparati farmaceutici
Fabbricazione di articoli in gomma e materie plastiche e altri prodotti della lavorazione di minerali non metalliferi,2017,23650.2,fabbricazione di articoli in gomma e materie plastiche e altri prodotti della lavorazione di minerali non metalliferi
Fabbricazione di articoli in gomma e materie plastiche,2017,13323.6,fabbricazione di articoli in gomma e materie plastiche
Fabbricazione di altri prodotti della lavorazione di minerali non metalliferi,2017,10334.9,fabbricazione di altri prodotti della lavorazione di minerali non metalliferi
"Attività metallurgiche e fabbricazione di prodotti in metallo, esclusi macchinari e attrezzature",2017,43648.8,"attività metallurgiche e fabbricazione di prodotti in metallo, esclusi macchinari e attrezzature"
Attività metallurgiche,2017,10086.9,attività metallurgiche
"Fabbricazione di prodotti in metallo, esclusi macchinari e attrezzature",2017,33611.8,"fabbricazione di prodotti in metallo, esclusi macchinari e attrezzature"
Fabbricazione di computer e prodotti di elettronica e ottica,2017,8783.2,fabbricazione di computer e prodotti di elettronica e ottica
Fabbricazione di apparecchiature elettriche,2017,10919.2,fabbricazione di apparecchiature elettriche
Fabbricazione di macchinari e apparecchiature n.c.a.,2017,39665.2,fabbricazione di macchinari e apparecchiature n c a
Fabbricazione di mezzi di trasporto,2017,24200.0,fabbricazione di mezzi di trasporto
"Fabbricazione di autoveicoli, rimorchi e semirimorchi",2017,16348.2,"fabbricazione di autoveicoli, rimorchi e semirimorchi"
Fabbricazione di altri mezzi di trasporto,2017,8026.5,fabbricazione di altri mezzi di trasporto
"Fabbricazione di mobili, altre industrie manifatturiere, riparazione e installazione di macchine e apparecchiature",2017,24158.1,"fabbricazione di mobili, altre industrie manifatturiere, riparazione e installazione di macchine e apparecchiature"
"Fabbricazione di mobili, altre industrie manifatturiere",2017,15137.4,"fabbricazione di mobili, altre industrie manifatturiere"
